FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-05-25,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2901,DFW,"Dallas/Fort Worth, TX",SLC,"Salt Lake City, UT",1850,1907.0,17.0,16.0,1923.0,2042.0,6.0,2038,2048.0,10.0,NOT CANCELLED,NOT DIVERTED,168.0,161.0,139.0,989.0,,,,,,2022
2022-11-04,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,357,COS,"Colorado Springs, CO",ORD,"Chicago, IL",1235,1241.0,6.0,12.0,1253.0,1555.0,13.0,1605,1608.0,3.0,NOT CANCELLED,NOT DIVERTED,150.0,147.0,122.0,911.0,,,,,,2022
2022-04-04,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,936,RSW,"Fort Myers, FL",ACY,"Atlantic City, NJ",925,920.0,-5.0,9.0,929.0,1133.0,6.0,1151,1139.0,-12.0,NOT CANCELLED,NOT DIVERTED,146.0,139.0,124.0,982.0,,,,,,2022
2022-09-05,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,470,DTW,"Detroit, MI",PWM,"Portland, ME",2120,2120.0,0.0,10.0,2130.0,2251.0,4.0,2310,2255.0,-15.0,NOT CANCELLED,NOT DIVERTED,110.0,95.0,81.0,668.0,,,,,,2022
2022-05-06,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5885,SFO,"San Francisco, CA",RNO,"Reno, NV",2246,2243.0,-3.0,27.0,2310.0,2344.0,5.0,2359,2349.0,-10.0,NOT CANCELLED,NOT DIVERTED,73.0,66.0,34.0,192.0,,,,,,2022
2022-10-19,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2914,SJC,"San Jose, CA",SNA,"Santa Ana, CA",1530,1530.0,0.0,10.0,1540.0,1638.0,4.0,1655,1642.0,-13.0,NOT CANCELLED,NOT DIVERTED,85.0,72.0,58.0,342.0,,,,,,2022
2022-09-15,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,220,MCO,"Orlando, FL",MYR,"Myrtle Beach, SC",1300,1253.0,-7.0,15.0,1308.0,1404.0,7.0,1421,1411.0,-10.0,NOT CANCELLED,NOT DIVERTED,81.0,78.0,56.0,388.0,,,,,,2022
2022-08-15,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,358,FAI,"Fairbanks, AK",SEA,"Seattle, WA",600,547.0,-13.0,10.0,557.0,1016.0,24.0,1036,1040.0,4.0,NOT CANCELLED,NOT DIVERTED,216.0,233.0,199.0,1533.0,,,,,,2022
2022-06-10,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1292,ORD,"Chicago, IL",LGA,"New York, NY",1130,1123.0,-7.0,12.0,1135.0,1411.0,5.0,1433,1416.0,-17.0,NOT CANCELLED,NOT DIVERTED,123.0,113.0,96.0,733.0,,,,,,2022
2022-02-20,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2466,MKE,"Milwaukee, WI",ATL,"Atlanta, GA",820,819.0,-1.0,9.0,828.0,1058.0,7.0,1125,1105.0,-20.0,NOT CANCELLED,NOT DIVERTED,125.0,106.0,90.0,669.0,,,,,,2022
2022-12-23,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,520,DTW,"Detroit, MI",ATL,"Atlanta, GA",1819,2051.0,152.0,51.0,2142.0,2311.0,11.0,2030,2322.0,172.0,NOT CANCELLED,NOT DIVERTED,131.0,151.0,89.0,594.0,20.0,111.0,20.0,0.0,21.0,2022
2022-03-09,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,916,SLC,"Salt Lake City, UT",SEA,"Seattle, WA",1720,1714.0,-6.0,20.0,1734.0,1819.0,7.0,1832,1826.0,-6.0,NOT CANCELLED,NOT DIVERTED,132.0,132.0,105.0,689.0,,,,,,2022
2022-10-20,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5412,DCA,"Washington, DC",TYS,"Knoxville, TN",841,838.0,-3.0,19.0,857.0,1005.0,3.0,1031,1008.0,-23.0,NOT CANCELLED,NOT DIVERTED,110.0,90.0,68.0,437.0,,,,,,2022
2022-08-08,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2399,MCO,"Orlando, FL",IAH,"Houston, TX",908,904.0,-4.0,20.0,924.0,1019.0,7.0,1039,1026.0,-13.0,NOT CANCELLED,NOT DIVERTED,151.0,142.0,115.0,854.0,,,,,,2022
2022-05-11,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1720,IAD,"Washington, DC",RSW,"Fort Myers, FL",1740,1815.0,35.0,14.0,1829.0,2021.0,4.0,2013,2025.0,12.0,NOT CANCELLED,NOT DIVERTED,153.0,130.0,112.0,891.0,,,,,,2022
2022-04-09,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1767,MIA,"Miami, FL",BOS,"Boston, MA",1210,1225.0,15.0,18.0,1243.0,1527.0,10.0,1527,1537.0,10.0,NOT CANCELLED,NOT DIVERTED,197.0,192.0,164.0,1258.0,,,,,,2022
2022-02-25,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2251,DFW,"Dallas/Fort Worth, TX",BWI,"Baltimore, MD",1834,1858.0,24.0,14.0,1912.0,2221.0,5.0,2220,2226.0,6.0,NOT CANCELLED,NOT DIVERTED,166.0,148.0,129.0,1217.0,,,,,,2022
2022-07-02,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,680,DEN,"Denver, CO",MCO,"Orlando, FL",951,1004.0,13.0,71.0,1115.0,1654.0,9.0,1537,1703.0,86.0,NOT CANCELLED,NOT DIVERTED,226.0,299.0,219.0,1546.0,13.0,0.0,73.0,0.0,0.0,2022
2022-11-07,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,598,BOS,"Boston, MA",STL,"St. Louis, MO",705,701.0,-4.0,14.0,715.0,856.0,3.0,925,859.0,-26.0,NOT CANCELLED,NOT DIVERTED,200.0,178.0,161.0,1047.0,,,,,,2022
2022-07-17,JetBlue Airways,JetBlue Airways: B6,B6,20409,1955,BOS,"Boston, MA",DCA,"Washington, DC",1500,1525.0,25.0,15.0,1540.0,1654.0,4.0,1646,1658.0,12.0,NOT CANCELLED,NOT DIVERTED,106.0,93.0,74.0,399.0,,,,,,2022
2022-07-31,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,471,OAK,"Oakland, CA",ONT,"Ontario, CA",2100,2111.0,11.0,13.0,2124.0,2223.0,4.0,2215,2227.0,12.0,NOT CANCELLED,NOT DIVERTED,75.0,76.0,59.0,362.0,,,,,,2022
2022-11-17,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3665,PHX,"Phoenix, AZ",LAX,"Los Angeles, CA",1554,1554.0,0.0,12.0,1606.0,1610.0,9.0,1622,1619.0,-3.0,NOT CANCELLED,NOT DIVERTED,88.0,85.0,64.0,370.0,,,,,,2022
2022-03-12,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5170,CLT,"Charlotte, NC",MSN,"Madison, WI",2229,2231.0,2.0,16.0,2247.0,2345.0,20.0,2350,5.0,15.0,NOT CANCELLED,NOT DIVERTED,141.0,154.0,118.0,708.0,2.0,0.0,13.0,0.0,0.0,2022
2022-11-18,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1764,CLT,"Charlotte, NC",PBI,"West Palm Beach/Palm Beach, FL",1845,1843.0,-2.0,21.0,1904.0,2034.0,4.0,2037,2038.0,1.0,NOT CANCELLED,NOT DIVERTED,112.0,115.0,90.0,590.0,,,,,,2022
2022-06-03,JetBlue Airways,JetBlue Airways: B6,B6,20409,1480,FLL,"Fort Lauderdale, FL",DCA,"Washington, DC",900,958.0,58.0,18.0,1016.0,1210.0,4.0,1128,1214.0,46.0,NOT CANCELLED,NOT DIVERTED,148.0,136.0,114.0,899.0,46.0,0.0,0.0,0.0,0.0,2022
2022-03-18,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5305,DCA,"Washington, DC",CAK,"Akron, OH",1917,2003.0,46.0,28.0,2031.0,2120.0,6.0,2031,2126.0,55.0,NOT CANCELLED,NOT DIVERTED,74.0,83.0,49.0,274.0,0.0,0.0,9.0,0.0,46.0,2022
