FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-05-13,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1346,ATL,"Atlanta, GA",SJC,"San Jose, CA",1923,,,,,,,2124,,,CANCELLED,A,NOT DIVERTED,301.0,,,2116.0,,,,,,2022
2022-07-28,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1539,DEN,"Denver, CO",BZN,"Bozeman, MT",1555,,,,,,,1740,,,CANCELLED,B,NOT DIVERTED,105.0,,,524.0,,,,,,2022
2022-01-09,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5860,DFW,"Dallas/Fort Worth, TX",SBA,"Santa Barbara, CA",1027,,,,,,,1206,,,CANCELLED,A,NOT DIVERTED,219.0,,,1316.0,,,,,,2022
2022-12-23,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4324,CIU,"Sault Ste. Marie, MI",DTW,"Detroit, MI",1552,,,,,,,1721,,,CANCELLED,B,NOT DIVERTED,89.0,,,284.0,,,,,,2022
2022-06-02,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,767,AMA,"Amarillo, TX",DAL,"Dallas, TX",600,,,,,,,715,,,CANCELLED,B,NOT DIVERTED,75.0,,,323.0,,,,,,2022
2022-05-27,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5412,TYS,"Knoxville, TN",DCA,"Washington, DC",1047,,,,,,,1219,,,CANCELLED,A,NOT DIVERTED,92.0,,,437.0,,,,,,2022
2022-03-13,Allegiant Air,Allegiant Air: G4,G4,20368,2490,SFB,"Sanford, FL",TVC,"Traverse City, MI",605,,,,,,,901,,,CANCELLED,A,NOT DIVERTED,176.0,,,1126.0,,,,,,2022
2022-04-10,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1143,TPA,"Tampa, FL",MSP,"Minneapolis, MN",540,,,,,,,809,,,CANCELLED,A,NOT DIVERTED,209.0,,,1306.0,,,,,,2022
2022-08-05,JetBlue Airways,JetBlue Airways: B6,B6,20409,931,BOS,"Boston, MA",LGA,"New York, NY",1500,1454.0,-6.0,,,,,1626,,,CANCELLED,C,NOT DIVERTED,86.0,,,184.0,,,,,,2022
2022-07-18,Republic Airline,Republic Airline: YX,YX,20452,4614,LGA,"New York, NY",IND,"Indianapolis, IN",929,1724.0,475.0,,,,,1146,,,CANCELLED,B,NOT DIVERTED,137.0,,,660.0,,,,,,2022
2022-12-23,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,591,ORD,"Chicago, IL",SEA,"Seattle, WA",1945,,,,,,,2232,,,CANCELLED,B,NOT DIVERTED,287.0,,,1721.0,,,,,,2022
2022-07-25,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5079,MDT,"Harrisburg, PA",CLT,"Charlotte, NC",1945,,,,,,,2122,,,CANCELLED,B,NOT DIVERTED,97.0,,,413.0,,,,,,2022
2022-12-28,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1719,AUS,"Austin, TX",OKC,"Oklahoma City, OK",1230,,,,,,,1350,,,CANCELLED,A,NOT DIVERTED,80.0,,,358.0,,,,,,2022
2022-05-05,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,55,DAL,"Dallas, TX",HOU,"Houston, TX",2000,,,,,,,2110,,,CANCELLED,A,NOT DIVERTED,70.0,,,239.0,,,,,,2022
2022-12-22,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5796,FSD,"Sioux Falls, SD",PHX,"Phoenix, AZ",1825,,,,,,,2022,,,CANCELLED,B,NOT DIVERTED,177.0,,,1081.0,,,,,,2022
2022-07-28,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3562,EWR,"Newark, NJ",MSP,"Minneapolis, MN",1805,,,,,,,2014,,,CANCELLED,C,NOT DIVERTED,189.0,,,1008.0,,,,,,2022
2022-02-22,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4126,IND,"Indianapolis, IN",MSP,"Minneapolis, MN",1255,,,,,,,1347,,,CANCELLED,B,NOT DIVERTED,112.0,,,503.0,,,,,,2022
2022-01-06,Horizon Air,Horizon Air: QX,QX,19687,2183,SAN,"San Diego, CA",SBA,"Santa Barbara, CA",1045,,,,,,,1145,,,CANCELLED,A,NOT DIVERTED,60.0,,,192.0,,,,,,2022
2022-12-26,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,491,BZN,"Bozeman, MT",DEN,"Denver, CO",645,,,,,,,831,,,CANCELLED,A,NOT DIVERTED,106.0,,,524.0,,,,,,2022
2022-05-20,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1502,FLL,"Fort Lauderdale, FL",ATL,"Atlanta, GA",1155,1214.0,19.0,,,,,1344,,,CANCELLED,C,NOT DIVERTED,109.0,,,581.0,,,,,,2022
2022-08-30,Republic Airline,Republic Airline: YX,YX,20452,4715,ILM,"Wilmington, NC",LGA,"New York, NY",1638,,,,,,,1829,,,CANCELLED,B,NOT DIVERTED,111.0,,,500.0,,,,,,2022
2022-01-01,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1346,ATL,"Atlanta, GA",MDW,"Chicago, IL",1005,,,,,,,1102,,,CANCELLED,B,NOT DIVERTED,117.0,,,591.0,,,,,,2022
2022-04-03,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,566,LAS,"Las Vegas, NV",IND,"Indianapolis, IN",2250,,,,,,,514,,,CANCELLED,B,NOT DIVERTED,204.0,,,1590.0,,,,,,2022
2022-02-02,Envoy Air,Envoy Air: MQ,MQ,20398,4300,ORD,"Chicago, IL",HSV,"Huntsville, AL",1720,,,,,,,1909,,,CANCELLED,B,NOT DIVERTED,109.0,,,510.0,,,,,,2022
2022-04-02,Republic Airline,Republic Airline: YX,YX,20452,4540,PIT,"Pittsburgh, PA",MIA,"Miami, FL",1601,,,,,,,1848,,,CANCELLED,B,NOT DIVERTED,167.0,,,1013.0,,,,,,2022
2022-12-27,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,509,SFO,"San Francisco, CA",PHX,"Phoenix, AZ",1645,,,,,,,1940,,,CANCELLED,A,NOT DIVERTED,115.0,,,651.0,,,,,,2022
2022-01-22,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1289,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",600,,,,,,,811,,,CANCELLED,B,NOT DIVERTED,131.0,,,700.0,,,,,,2022
2022-01-13,Horizon Air,Horizon Air: QX,QX,19687,2571,MSO,"Missoula, MT",SEA,"Seattle, WA",1505,,,,,,,1553,,,CANCELLED,B,NOT DIVERTED,108.0,,,389.0,,,,,,2022
2022-06-12,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1978,CLT,"Charlotte, NC",BOS,"Boston, MA",1750,,,,,,,1954,,,CANCELLED,A,NOT DIVERTED,124.0,,,728.0,,,,,,2022
2022-07-26,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2643,JFK,"New York, NY",CLT,"Charlotte, NC",630,,,,,,,825,,,CANCELLED,C,NOT DIVERTED,115.0,,,541.0,,,,,,2022
